S.No.,Project Details and Address,Project Completion Date,Location of Site
70," - Construction of Registration of Group Development comprising of 4 Blocks, Block-A: Stilt Floor + 3 Floors + 4th Floor Part + 5th Floor Residential Building with 21 dwelling units and covered Swimming Pool at 1st Floor Level, Block-B: Stilt Floor + 5 Floors Residential building with 40 dwelling units, Block-C: Stilt Floor + 4 Floors + 5th Floor Residential building with 38 dwelling units, Block-D: Stilt Floor + 4 Floors Residential building with 32 dwelling units totally 131 dwelling units availing with Premium FSI at Madambakkam, Chennai comprised in Survey Nos.716/1D1, 1D2, 3, 4 & 5 of Madambakkam Village within the limit of Madambakkam Town Panchayat, Chengalpet District.",24.08.2026,
71," - Construction of Stilt Floor + 5 Floors Residential Building with 53 dwelling units (Gym at 4th Floor and Association Room at 5th Floor) at Mambakkam?Medavakkam Main Road, Chennai comprised in S.Nos.81/6A1, 83/2B1 of Madambakkam Village, Tambaram Taluk, Kancheepuram District.",June 2025, Latitude-12§57?N; Longitude-80§09?E;
72," - Construction of Stilt Floor + 5 Floors Residential Building with 10 dwelling units at TNHB, Block No.83, Mayuri Apartments, Anna Nagar West Extension, Chennai ? 600101 comprised in Old S.Nos.163 part, 164/1 part, 160/1 part, 162 part, T.S.No.146/6, Block No.10, Ward?H of Mogappair Village, Ambattur Taluk, Chennai District.",December 2026, Latitude-13§05?N; Longitude-80§10?E;
73," - Construction of Registration of Developer?s share of One Flat in Second Floor and One Flat in Fourth Floor (2 Flats) in Stilt + 5 Floors Residential Building with 5 Dwelling Units at Old Door No.2, New Door No.15, 4th Avenue, 26th Cross Street, Indira Nagar, Thiruvanmiyur, Chennai- 600020 comprised in Old S.No.53/1A part, as per Patta New T.S.No.6, Block No.16 of Thiruvanmiyur Village, Velachery Taluk, Greater Chennai Corporation Limit.",24.11.2030, Latitude-12.993064?N; Longitude-80.253769?E;
74,,31.12.2024, Latitude-13.030812?N; Longitude-80.278682?E;
75," - Construction of Stilt Floor + 3 Floors Residential Building with 12 Dwelling units at Plot Nos.J2, J3 & J4, First Street, Ishwaryam Garden Extension, Vengaivasal, Chennai comprised in Old S.No.13/15A, New S.No.13/15A2 of Vengaivasal Village, Tambaram Taluk, Chengalpattu District.",December 2023, Latitude-12§91?09.12?N; Longitude-80§18?52.54?E;
76," - Construction of Registration of Double Basement Floor + Ground Floor + 7 Floor Office Building at Old S.No.336/1 to 6B, T.S.No.19/1, Ward No.AA(27), Block No.37 of Krishnarayapuram Village, Coimbatore North Taluk, Coimbatore District.",31.12.2027, Latitude-11.018536'N; Longitude-76.990862'E;
77," - Construction of Registration of Stilt + 5 Floors Residential Building with 10 Dwelling units availing Premium FSI at TNHB Block No.81, Mayuri Apartments, Ambattur Estate ? Thirumangalam Road, Anna Nagar Western Extension, Chennai ? 600101 comprised in S.Nos.160 part, 162 part, 163 part (as per Document), Old S.Nos.163 part, 164/1 part, 160/1 part, 162 part, T.S.No.146/8, Ward-H, Block No.10 of Mogappair Village (as per Patta), Ambattur Taluk within the limit of Greater Chennai Corporation.",December 2026,
78,,30.01.2025, Latitude-12§58?13.0?N; Longitude-80§11?36.2?E;
79," - Construction of Block-1: Stilt + 5 Floors Residential Building with 15 Dwelling Units, Block-2: Stilt + 2 Floors + 3rd Floor part + 4th Floor part + 5th Floor part Residential Building with 27 Dwelling units (Totally 42 Dwelling units) at Plot-A, Thirukural Munusamy Street, Mogappair West, Chennai comprised in Old S.Nos.259/2, 212/1A, 271/7 part, T.S.No.13/1, Block No.37, Ward?H (as per Patta) of Mogappair Village, Ambattur Taluk, Tiruvallur District.",July 2026, Latitude-13§04?57.6?N; Longitude-80§10?45.2?E;
80,,27.09.2025, Latitude-12§58?15.0?N; Longitude-80§11?36.8?E;
81," - Construction of Stilt Floor + 5 Floors residential Building with 10 dwelling Units at TNHB Block No.82, Mayuri Apartments, Anna Nagar Western Extension, Chennai comprised in Old S.Nos.160 part, 162 part, 163 part, (as per Doc.) Old S.Nos.160/1 part, 162 part, 163 part, 164/1 part, T.S.Nos.146/3 and 146/7, Ward-H, Block No.10 of Mogappair Village (as per Patta), Ambattur Taluk, Chennai District.",December 2026, Latitude-13§05?17.7?N; Longitude-80§11?00.5?E;
82," - Construction of Stilt Floor + 3 Floor of Residential Building with 09 dwelling units at Door No.1/11B, Noble Street and Noble 3rd Street, Palavanthangal Village, Chennai comprised in Old S.No.49/9, New T.S.Nos.58/2 and 58/3, Block No.2, Ward No.A of Palavanthangal Village, Alandur Taluk, Chennai District.",March 2024," Latitude-12§99?27.45""N; Longitude-80§18?72.62?E;"
83," - Construction of Basement Floor + Ground Floor + 2 Floors Residential Apartment with 24 dwelling units at T.S.Nos.2189/10A, 10B, 36, 37, Block No.49, Ward No.B of Vellithirumutham Village, Srirangam Taluk, Tiruchirapalli District.",05.01.2030," Latitude-10§85?80.55""N; Longitude-78§70?18.75?E;"
84," - Construction of Stilt Floor + 5 Floors with 10 dwelling units comprised in Old S.F.No.237/2A, Door No.60 & 61, Ward No.I(9), Block No.10, T.S.No.237/2 & 242/8 of Rajaji Road, Ram Nagar, Annupperpalayam Village, Coimbatore Corporation.",28.07.2027," Latitude-11§01?19.50""N; Longitude-76§96?34.60?E;"
85," - Construction of Registration of Residential Group Development Buildings (Non-High Rise) Phase-I consisting of Ground + 1st Floor + 2nd Floor part ? Block B1, B2, B3, B4, C1, C2, C3, C4; Ground + 2 Floors ? Block A1, A2, D1, E1, F1, G1, G2, G3, G4, G5, G6, G7, N1, P1, Q1, R1, S1, T1, V1, W1 with each single dwelling units and Z1 - Ground Floor + 2 Floors Office Building (Total 29 Blocks) comprised in T.S.No.8/2 (Old S.No.162), Block No.25, Ward No.U(21) & T.S.No.42 (Old S.No.156/1 part), Block No.23, Ward No.U(21) of Ganapathy Village, Coimbatore District.",March 2026," Latitude-11§01?58.3""N; Longitude-76§58?58.9?E;"
86,,March 2025, Latitude-13§02?N; Longitude-80§03?E;
87,,31.08.2026, Latitude-12§42?N; Longitude-80§11?E;
88,,22.01.2028," Latitude-12§54?15.07""N; Longitude-80§10?10.15""E;"
89,,February 2026," Latitude-11§01?23.7""N; Longitude-76§56?49.6""E;"
90,,15.12.2030," Latitude-12§59?7.4328""N; Longitude-80§11?21.3792""E;"
91,,30.06.2024, Latitude-10.998833'N; Longitude-77.044162'E;
92," to ""TVS Emerald Udyana Phase-I"" - Construction of Block?A with Stilt Floor + 5 Floors with 55 dwelling units and Block?B with Stilt Floor + 5 Floors with 80 dwelling units totalling 135 dwelling units at Plot No.171 in CMDA approved Layout PPD/LO.No. 14/2022 comprised in S.Nos.205/1(Pt) 207/1A(Pt), 207/1B, 207/2A(Pt), 207/2B, 207/3B(Pt), 209/1A(Pt), 209/2(Pt), 209/3A(Pt), 209/3B(Pt) and 209/3C(Pt) of Vengaivasal Village, Tambaram Taluk, Chengalpattu District.",22.01.2028, Latitude-12§54?14.32?N; Longitude-80§10?15.01?E;
93," - Construction of Registration of Group Housing Development 13 Blocks with Block-N1 to N6: Ground Floor + 1st Floor (Total 06 Dwelling Units), Block-E1 to E4: Ground Floor + 1st Floor (Total 04 Dwelling Units), Block-W1 to W3: Ground Floor + 1st Floor (Total 03 Dwelling Units) + 1 Amenity Block with Ground Floor + 1st Floor Residential Building Totally 13 dwelling units comprised in Survey No.338/1A2 of Kalapatti Village, Coimbatore North Taluk, Coimbatore Corporation.",20.12.2027,
94," - Construction of Registration of Group Housing Development 10 Dwelling Units with Block-E1, E2, E4, E5, E3, W1, W2, W3, W4, W5 & Club House with Ground Floor + First Floor comprised in S.F.No.338/1A1 of Kalapatti Village, Coimbatore North Taluk, Coimbatore District.",20.12.2027, Latitude-11§05?49.71?N; Longitude-77§33?46.10?E;
95,,31.06.2024, Latitude-13§01?36.19?N; Longitude-80§16?15.52?E;
96," - Construction of Registration of Stilt + 5 Floors Residential Building with 10 Dwelling units availing Premium FSI at Plot No.57, Raju Nagar 2nd Street, Okkiyamthoraipakkam, Chennai comprised in S.No.213/4 of Okkiyamthoraipakkam Village within the limit of Greater Chennai Corporation.",31.12.2024,
97," - Construction of Registration of Stilt + 5 Floors Residential Building with 05 Dwelling units at Old D.No.6, New D.No.13, Plot No.7 comprised in Old S.No.14 part, R.S.No.3139/10 part, D.No.12, R.S.No.3139/19 (as per Patta), Block No.53, Bransons Road, Ward No.1 of Purasawakkam Village within the limit of Greater Chennai Corporation.",10.09.2023,
98," - Construction of Registration of Stilt + 5 Floors Residential Building with 25 Dwelling units comprised in Survey No.107/2 of Vadavalli Village, Coimbatore Corporation.",11.08.2027,
99," - Construction of Registration of Ground Floor + First Floor Residential Building with 08 dwelling Units at Door No.38 & 39, T.S.No.628 & 627, Ward No.7, Block No.21 of Vallalar Kovil Double Street, Mayiladuthurai Municipality, Nagapattinam District.",December 2024, Latitude-11§06?21.0?N; Longitude-79§39?09.2?E;
100," - Construction of Registration of Ground + 5 Floors of Block-A: 96 DU, Ground + 5 Floors of Block-B1: 84 DU, Block-B2: 84 DU, Ground + 5 Floors of Block-C1: 72 DU, Block-C2: 72 DU, Block-C3: 72 DU (Total 480 Dwelling Units) at Ambedkar Street, Indira Nagar, 2nd Main Road, Periyar Nagar, Thiruvanmiyur, Chennai comprised in Old S.Nos.51/1pt, 51/2pt, T.S.No.144pt, Block No.13, Ward No.001 of Thiruvanmiyur Village within Greater Chennai Corporation.",30.06.2023,
101,,31.07.2023, Latitude-12§96?N; Longitude-80§20?E;
102,,28.02.2026,
103," - Construction of Registration of Tower-3, 5, 10, 11, 12, 17 (6 Towers) of each Stilt + 4 Floors with 32, 64, 96, 64, 96, 64 dwelling units respectively totally 416 dwelling units for Affordable Housing comprised in S.Nos.451, 453, 455, 457/1, 2A, 3A, 3B, 3C, 3D, 3E, 459/1, 2, 3C, 3D, 4, 5, 6, 460/1, 2A, 2B, 4, 465/2, 466/1B, 470, 471/1, 2, 3, 472/1, 2, 3, 473/1A1, 1A2, 1B, 478/1A, 1B, 2A, 2B, 2C, 2D, 3A, 3B, 479/1, 2, 3, 480 & 481 of Kuthambakkam Village, Poonamallee Taluk, Tiruvallur District.",Completed, Latitude-13.02512?N; Longitude-80.01380?E;
104," - Construction of Stilt Floor + 3 Floors Residential Building with 9 dwelling units at Justice Veerasami Salai, Perungudi, Chennai ? 600096 comprised in S.No.177/1G of Perungudi Village, Sholinganallur Taluk, Chennai District.",November 2024, Latitude-12§57?N; Longitude-80§14?E;
105," - Construction of Stilt Floor + 3 Floors Residential Building with 6 dwelling units at Door No.53/2, Sterling Road, Nungambakkam, Chennai comprised in R.S.No.541/3, Block No.30 of Nungambakkam Village, Egmore Taluk, Chennai District.",31.12.2027, Latitude-13§03?N; Longitude-80§14?E;
106," - Construction of Group Housing Development for 24 Nos. of Block-A (Ground Floor), 13 Nos. of Block-B (Ground Floor), 11 Nos. of Block-C (Ground Floor + 1st Floor), 20 Nos. of Block-D (Ground Floor + 1st Floor), 33 Nos. of Block-E (Ground Floor + 1st Floor), Block-F (Ground Floor) - General Ward, Block-G (Ground Floor + 1st Floor) for Department Store, Block-H (Ground Floor + 2nd Floor) for Club House, Block-I (Ground Floor + 1st Floor) for Office, Block-J (Ground Floor + 1st Floor) for Reception with 101 dwelling units comprised in S.F.Nos.312/2, 313/1A, 313/1B, 313/1C, 313/2, 313/3, 313/4, 314/1A, 314/1B, 315/1, 317/1A, 317/1B of Sulakkal Village, Kinathukadavu Taluk, Coimbatore District.",31.05.2029," Latitude-10§45?32.02""N; Longitude-76§58?36.63""E;"
107," - Construction of Registration of Stilt Floor + 5 Floors (18.25m Height) Residential Building with 39 Dwelling units (Affordable Housing) at Pallava Garden 1st Avenue, Pallavaram, Chennai comprised in Old S.Nos.152/8 & 152/9, T.S.No.52/3, Block No.18, Ward-C of Zamin Pallavaram, Pallavaram Taluk within the limit of Tambaram Municipal Corporation.",31.07.2025,
108,,02.02.2024,
109,,30.12.2024,
110," - Construction of Registration of Stilt + 5 Floors Residential Building with 19 Dwelling units availing with Premium FSI at Ravi Main Road (Indira Colony Main Road), Medavakkam, Chennai ? 600100 comprised in Survey Nos.154/2B3A2, 155/1C1A1, 155/1C1A2, 155/1C1B, 155/1C2 as per Patta of Medavakkam Village within the limit of St.Thomas Mount Panchayat Union.",30.12.2025,
111," - Construction of Registration of Stilt Floor + 3 Floors Residential building with 12 dwelling Units at Plot No.46 & 47, Old Door No.11, New Door No.16, 3rd Cross Street, Chinnaiah New Colony (Previously called as Vadivelu Mudali Street), Perambur, Chennai ? 600011 comprised in Town Survey No.790/53, Block No.45 of Perambur Village within the limit of Greater Chennai Corporation.",May 2024,
112,,Completed," Latitude-13§02?25.0""N; Longitude-80§07?48.7""E;"
113,,Completed," Latitude-13§08?24.88""N; Longitude-80§21?67.06""E;"
114,,Completed," Latitude-13§00?46.2""N; Longitude-80§12?27.6""E;"
115," - Construction of Stilt Floor + 5 Floors Residential Building with 15 dwelling units at Plot No.26 & 27, Sastha Nagar 1st Street, Nehru Nagar 2nd Street & Veerapathira Nagar 1st Street, Sri Sastha Padi Duraiswamy Nagar, Vengaivasal, Chennai ? 600100 comprised in S.No.3/1E1C of Vengaivasal Village, Tambaram Taluk, Chengalpattu District.",December 2024, Latitude-12§90?N; Longitude-80§19?E;
116,,June 2026," Latitude-11§40?01.8""N; Longitude-78§09?01.2""E;"
117,,02.11.2024, Latitude-13§07?N; Longitude-80§02?E;
118," - Construction of Registration of Residential project at Stilt Floor + 3 Floors Residential Building with 11 dwelling units at Plot No.1A, Justice Veerasami Salai, Perungudi, Chennai comprised in S.No.177/1F, Patta No.5644 of Perungudi Village, Chennai.",November 2024," Latitude-12§57?52.00""N; Longitude-80§14?13.89""E;"
119," - Construction of Registration of Stilt Floor + 3 Floors Residential Building with 12 Dwelling Units at Plot No.A comprised in Survey Nos.404/20, 404/21, 404/22, 404/23 (part), Kumaran Kudil Annexe 1st Main Road (Facing 2nd Cross Street), Okkiyam Thoraipakkam Village within the limit Greater Chennai Corporation.",Completed,
120," - Construction of Stilt Floor + 3 Floors Residential Building with 12 dwelling units at Door No.18, Jayaram Pillai Street, West Mambalam, Chennai ? 600033 comprised in T.S.No.24/3, Block No.92 of Kodambakkam Village, Mambalam Taluk, Chennai District.",30.06.2024, Latitude-13§02?N; Longitude-80§21?E;
121," - Construction of Stilt Floor + 3 Floors Residential Building with 9 dwelling units at Old Door No.20, New Door No.13, Kanniah Chetty Street, Venkatapuram, Ambattur, Chennai ? 600053 comprised in Old S.Nos.614/4, 614/5, 614/5/1, 614/2, (as per Patta) Old S.Nos.614/4C1B, 614/2A part, 614/5A1A1B, T.S.No.10, Block No.20, Ward-?B? of Ambattur Village, Ambattur Taluk, Chennai District.",August 2023, Latitude-13§07?N; Longitude-80§09?E;
122," - Construction of Registration of Stilt Floor + 4 Floors Residential Building with 12 dwelling units at Old Door No.14, New Door No.22, United Colony 3rd Main Road, United India Colony, Kodambakkam, Chennai comprised in Old S.No.79 part, T.S.No.79/2, Block No.44 of Puliyur Village, Egmore Taluk, Chennai District.",April 2024," Latitude-13§04?9.71""N; Longitude-80§22?4.70""E;"
123,,Completed, Latitude-13.082536'N; Longitude-80.243890'E;
124," - Construction of Combined and Extended 1st Basement Floor (Parking) for Block-A & B. Block-A: 2nd Basement Floor (Parking) + Stilt Floor (Parking) + 1st Floor (Children Indoor Games, Mini Theatre, Gym, Tennis, Spiritual Room, Swimming Pool and 3 dwelling units) + 2nd Floor to 18 Floor + 19th Floor (part) with 143 dwelling units. Block-B: Combined Extended 1st Basement Floor (Parking) + Ground Floor (Office use) + 1st Floor (Office use) + 2nd Floor (Kitchen with Dining) + 3rd & 4th Floor (Guest Rooms) Commercial use at New Door Nos.5, 5A, 5B, 5C & 5D (Old Door Nos.2, 2A, 2B, 2C & 2D), Demellows Road, Choolai, Chennai ? 600012 comprised in R.S.No.1289/3, Block No.34 of Vepery Village, Purasawakkam Taluk, Chennai District.",31.12.2025, Latitude-13§09?N; Longitude-80§26?E;
125," - Construction of Stilt Floor + 4 Floors Residential Building with 16 dwelling units at Plot No.82, Old Door No.14, New Door No.29, LIC Flats, Madhavan Road, Mahalingapuram, Nungambakkam, Chennai comprised in Old R.S.No.622/1 part, New R.S.No.622/34, Block No.36 of Nungambakkam Village, Egmore Taluk, Chennai District.",31.07.2024, Latitude-13§05?N; Longitude-80§23?E;
126," - Construction of Stilt + 5 Floors Residential Building with 9 Dwelling Units at Door No.6/26, Tank Bund Road 1st Street / Tank Bund Road 2nd Street, Nungambakkam, Chennai comprised in T.S.Nos.562/16, 562/18, 563/14, Block No.33 of Nungambakkam Village, Chennai.",21.09.2026,
127," - Construction of Stilt Floor + 1st Floor (Office) + 2nd to 4th Floor Residential Building with 9 dwelling units at Plot No.10/C2, (Commercial Type) Gandhi Street, (EB Road) in the JJ Nagar East Scheme, Mogappair West, Chennai comprised in Old S.No.332pt, T.S.No.5/3, Block No.61, Ward-H of Mogappair Village, Chennai.",31.12.2024," Latitude-12§54?14.32""N; Longitude-80§10?15.01""E;"
128," - Construction of Registration of Group Housing Development consisting of 2 Blocks ? Block-A: Stilt Floor + 5 Floors Residential Building with 30 Dwelling units and Block-B: Stilt Floor + 5 Floors Residential Building with 47 Dwelling units (Gym and Multipurpose Room at First Floor Part) ? Totally 77 Dwelling Units (Height 18.00m) availing Premium FSI at Old Door No.51, New Door No.48/7, Muthukumarappa Street, Saligramam, Chennai comprised in Old S.Nos.110/6, 111/12, T.S.Nos.99/1, 99/2, 99/3, 99/4, 99/5, Block No.42 of Saligramam Village within the limit of Greater Chennai Corporation.",March 2024,
129," - Construction of Registration of Basement Floor + Ground Floor + 2 Floors Residential Building (Affordable Housing) with 20 Dwelling Units at Ward?A, Block No.39, T.S.No.1292/28 of Navaneetha Muthu Nagar (Phase-III), Melur Village, Tiruchirappalli District.",April 2025,
130," - Construction of Registration of Stilt Floor + 5 Floors Residential Building with 10 Dwelling units with availing Premium FSI at Plot Nos.79 & 80, Sundaram Street, Chinmaya Nagar, Koyambedu, Chennai comprised in Old S.Nos.107/1A1A, 107/1A1A part, T.S.Nos.46 & 47, Block No.82 of Koyambedu Village within the limit of Greater Chennai Corporation.",31.03.2025,
131,,31.10.2024,
132," - Construction of Basement Floor + Ground Floor + 2nd Floors of Multi Dwelling Building (Affordable Housing) with 24 dwelling units at T.S.No.1292/29, Ward?A, Block?39 of Navaneetha Muthu Nagar (Phase-II), Melur Village, Srirangam Taluk, Tiruchirapalli District.",December 2024," Latitude-10§86?21.04""N; Longitude-78§68?37.15""E;"
133," - Construction of Registration for Builder share of Flat Nos.5A & 5B (Total 2 Flats) at Stilt Floor + 5 Floors Residential Building with 10 dwelling units at Plot No.S-34, Old Door No.41, New Door No.14, Ramaniyam Abhinaya, 1st Avenue, Sastri Nagar, Chennai comprised in Old S.Nos.81/4pt & 85/1Bpt, T.S.No.9, Block No.23 of Urur Village, Chennai.",December 2027," Latitude-13§00?04.2""N; Longitude-80§15?39.4""E;"
134," - Construction of Registration of Stilt Floor + 3rd Floors residential Building with 09 dwelling Units at Plot No.(2&3)-E, Vaigai Street, Ram Nagar 4th Street, Madipakkam, Chennai comprised Old S.No.57/8, Patta Nos.23048, 23386, 23166, as per Patta S.Nos.57/31B, 57/42B, 57/31A, 57/42A, 57/32, 57/33, 57/43, 57/44 of Madipakkam Madura Puzhuthivakkam Village, Sholinganallur Taluk, Chennai District.",31.01.2028," Latitude-12§58?10.3""N; Longitude-80§12?28.0""E;"
135,,27.11.2027," Latitude-10§50?44.5""N; Longitude-78§42?25.5""E;"
136," - Construction of Registration of Stilt + 3 Floors Residential Building with 16 Dwelling Units at Plot No.1, College Road, Kulathuvancheri, Chennai comprised in Survey No.125/3 part of Kulathuvancheri Village within the limit of Kundrathur Panchayat Union, Kancheepuram District.",07.11.2025,
137," - Construction of Stilt + 4 Floors Residential Building with 16 Dwelling Units at Old Door No.78, 79, New Door No.127, 129, Paddy Field Road, Perambur, Chennai ? 600011 comprised in Old R.S.No.437, T.S.No.437/17, 437/18, Ward-1, Block No.23 of Perambur Village, Perambur Taluk, Chennai District.",30.06.2026," Latitude-13§06?43.9""N; Longitude-80§14?57.8""E;"
138," - Construction of Stilt Floor + 5 Floors Residential Building with 50 dwelling units comprised in Old S.No.279/1pt, New T.S.No.6/9, Block No.29, S.Ward No.XXII of Madakulam Village, Thirupparangundram Taluk, Madurai District.",31.03.2026," Latitude-9§92?05.3""N; Longitude-78§08?45.1""E;"
139,,31.03.2026,
140,,01.12.2026, Latitude-13§05?N; Longitude-80§14?E;
141," - Construction of Registration of Stilt Floor + 5 Floors Affordable Residential Apartment with 25 dwelling units at Plot Nos.43, 44, 45, Thiru Nagar comprised in T.S.Nos.47, 48 & 49 (Old S.F.Nos.121/3Apt & 121/3A2pt), Ward?AL, Block No.15 of Karumandapam, K.Abishekapuram Village, Tiruchirapalli District.",28.02.2028,
142,,March 2026, Latitude-30.062012?N; Longitude-80.200701?E;
143,,January 2024, Latitude-12§56?N; Longitude-79§08?E;
144," - Construction of Stilt Floor + 5 Floors Residential Building with 54 dwelling units at Karanai Main Road and Sitalapakkam Road, Arasankazhani, Chennai comprised in S.No.81/1A of Arasankazhani Village, Tambaram Taluk, Chengalpattu District.",September 2024, Latitude-12§87?N; Longitude-80§19?E;
145," - Construction of Stilt Floor + 5 Floors Residential Building with 10 dwelling units at Plot No.3 & 4, Ganesh Nagar Main Road, Raja Kilpakkam, Chennai ? 600073 comprised in Old S.Nos.42A/3A, 41/1B, New S.Nos.41/63A, 42A/33A, 42A/34 of Rajakilpakkam Village, Tambaram Taluk, Chengalpattu District.",29.12.2030, Latitude-12§55?N; Longitude-80§08?E;
146," - Construction of Stilt Floor + 3 Floors Residential Building with 12 dwelling units at Neela Nagar 1st Main Road, Medavakkam, Chennai comprised in S.No.427/281 of Medavakkam Village, Tambaram Taluk, Chengalpattu District.",31.12.2025, Latitude-12§91?N; Longitude-80§18?E;
147,,30.04.2027," Latitude-12§59?14.5""N; Longitude-80§11?34.3""E;"
148," - Construction of Stilt Floor + 5 Floors Residential Building with 10 dwelling units at Plot No.2570, Door No.16/106, AI-Block, 4th Street, Anna Nagar, Chennai ? 600040 comprised in Old S.Nos.66/3Bpt, 66/12pt, T.S.No.206, Block No.1C of Naduvankarai Village, Aminjikarai Taluk, Chennai District.",31.07.2024, Latitude-13§08?N; Longitude-80§21?E;
149," - Construction of Registration of Developer share of 6th to 12th Floor in the Extended Basement Floor with MLCP 2 Levels + Stilt Floor (Mechanized Parking) + 12 Floors Commercial Building (Office) at Old Door No.190, New Door Nos.8, 10 & 12, Anna Salai, Little Mount, Saidapet, Chennai ? 600015 comprised in S.Nos.27/1 & 27/4, Block No.8 of Adyar Village, Guindy Taluk, Chennai.",July 2025, Latitude-13.0142652?N; Longitude-80.2229688?E;
150,,Completed, Latitude-12.906348?N; Longitude-80.229212?E;
151," - Construction of Registration of Developers share of Flat No.1 in 1st Floor, Flat No.2 in 2nd Floor (2 Flats) in Stilt + 5 Floors Residential Building with 5 Dwelling Units at Plot No.89, Old Door No.18, New Door No.31, M.G.Ramachandran Road, Kalakhetra Colony, Besant Nagar, Chennai ? 600090 comprised in Old S.No.161/2, 3, New T.S.No.64, Block No.51 of Thiruvanmiyur Village, Velachery Taluk, Greater Chennai Corporation Limit.",07.03.2031, Latitude-12.593904?N; Longitude-80.155501?E;
152,,,
153," to ""Nava Dugar Project"" - Construction of Registration of Stilt + 3 Floors Residential Building with 09 Dwelling Units at Valleswaran Koil Street, Survey No.412/6, Patta No.2214, Patta New Survey No.412/6C1B of Manapakkam Village, Sripermbudur Taluk, Kancheepuram District.",07.02.2025, Latitude-13§01?24.01?N; Longitude-80§16?58.11?E;
154," - Construction of Registration of Stilt Floor + 5 Floors Residential Building with 15 dwelling units at Old Door No.5, New Door No.6, Paul Appasamy Street, T.Nagar, Chennai comprised in Old S.No.4785 & 4786, R.S.No.8719, T.S.No.78/1 (as per Document), T.S.No.8319/1, Block No.109 (as per TSLR) of T.Nagar Village, Guindy Taluk, Chennai District.",January 2031, Latitude-13§04?92.88?N; Longitude-80§24?14.95?E;
155,,31.12.2025, Latitude-13§01?11.3?N; Longitude-80§11?01.7?E;
156," at Plot No.D, Barraca Road, Kilpauk, Chennai comprised in Old S.Nos.503, 504, 570, 592, 509 to 514, New R.S.No.2932/62, Block No.48 of Purasawakkam Village, Purasawakkam Taluk, Chennai.",31.12.2026,
157," - Construction of Registration of Basement Floor + Stilt Floor + 4 Floors Business Office Building at Survey Nos.201/1R1B1, 1R1C, 201/1Q1B, Plot No.C5 Part of Keelakuruchi Village, Tiruchirappalli District.",31.03.2027,
158," - Construction of Registration of Basement Stilt Floor + Podium & Swimming Pool on 1st Floor Level with Club House partly + 18 Upper Floors, Totally 316 Dwelling units comprised in S.No.103/7 of Karanai Village, Vandalur Taluk, Chengalpet District.",03.10.2025, Latitude-12ø52?5.09?N; Longitude-80ø12?15.76?E;
159," - Construction of High Rise Commercial (Office) Building consist of Basement Floor + Stilt Floor + 1st Floor to 9th Floors (Typical) at New Door No.1/1, Sri Lalithapuram Street, Door No.268, Avvai Shanmugam Salai (Lloyds Road), Royapettah, Chennai comprised in Old R.S.Nos.1153/2pt & 1153/3, New R.S.Nos.1153/3 & 56, Block No.24 of Mylapore Village, Chennai.",October 2023, Latitude-13§2?54.5237?N; Longitude-80§15?46.4847?E;
160,,June 2024, Latitude-12§57?39.5?N; Longitude-80§12?29.8?E;
161," - Construction of Basement Floor + Stilt Floor + 1st Floor to 2nd Floor (Parking) + 3rd Floor to 19th Floor Multi-Storied Residential Building with 906 dwelling units and Open Swimming Pool at 3rd Floor comprised in S.No.36/16B2 of Perungudi Village, Sholinganallur Taluk, Chennai District.",April 2028, Latitude-12§96?N; Longitude-80§23?E;
162," - Construction of Flat Nos.3A, 3B, 4A & 4B at Door No.13, Old Door No.07, Block No.66, R.S.Nos.3334/19, 3339/8, 3339/19, 3340/9 & 3340/13 of Justice Sundaram Salai, Mylapore, Chennai ? 600004.",March 2027,
163," to ""Casagrand Elinor"" - Construction of Registration of Basement Ground Floor + 19 Upper Floors, (Club House: Ground Floors Part), Totally 548 Dwelling Units in the Land bearing S.Nos.104/1A, 105/1C1, 105/1D1A & 105/1D2 of Karanai Village, Vandalur Taluk, Chengalpet District.",12.10.2025, Latitude-12§52?10.74?N; Longitude-80§12?9.52?E;
164," - Construction of Registration of demolition and reconstruction of a Residential Building at Stilt Floor + 3 Floors Residential Building with 11 dwelling units at Plot No.14, Banu Nagar 4th Avenue, Oragadam, Chennai comprised in S.No.128/3pt, as per Patta Old S.No.128/3A1A1pt, New S.No.54, Block No.19, Ward No.A of Oragadam Village, Chennai.",March 2024, Latitude-13§13?27.40?N; Longitude-80§16?06.00?E;
165," - Construction of Stilt Floor + 5 Floors Residential Building with 5 dwelling units at Plot No.27, Door No.12, Raghava Veera Avenue, Poes Garden, Teynampet, Chennai ? 600086 comprised in R.S.Nos.1556/4, 1560/1, 1567/89, Block No.31 of Mylapore Village, Mylapore Taluk, Chennai District.",23.02.2028, Latitude-13§04?N; Longitude-80§25?E;
166," - Construction of Stilt Floor + 5 Floors Residential Building with 59 dwelling units (Multipurpose Hall in 1st Floor) comprised in S.No.124/1C5 of Vilankurichi Village, Coimbatore North Taluk, Coimbatore District.",14.12.2027, Latitude-11§06?N; Longitude-77§00?E;
167," - Construction of Registration of Stilt Floor + 5 Floors (18.30m) Residential Building with 05 Dwelling Units availing Premium FSI at Plot No.9, New Door No.66/1, 2, 3, Old S.No.68/1, 2, 3, Poes Garden, Chennai ? 600086 comprised in R.S.No.1567/13, Block No.31 of Mylapore Village within the limit of Greater Chennai Corporation.",30.06.2026,
168,,01.12.2030,
